#system_time_sec,imu_time_usec,quat1,quat2,quat3,quat4,euler1,euler2,euler3
1543341557.591684,1287815769,0.327251,0.649961,0.377130,0.572914,-0.115524,1.630313,1.041734
1543341558.617557,1288815754,0.327211,0.650007,0.377079,0.572918,-0.115535,1.630380,1.041584
1543341559.627326,1289815740,0.327142,0.649993,0.377071,0.572978,-0.115554,1.630254,1.041462
1543341560.652936,1290815726,0.327111,0.649995,0.377040,0.573014,-0.115527,1.630218,1.041362
1543341561.662814,1291815712,0.327162,0.649973,0.377098,0.572973,-0.115555,1.630226,1.041541
1543341562.688506,1292815697,0.327200,0.649984,0.377096,0.572939,-0.115539,1.630307,1.041597
1543341563.698679,1293815683,0.327275,0.649907,0.377138,0.572956,-0.115436,1.630202,1.041792
1543341564.708238,1294815669,0.327158,0.649978,0.377114,0.572958,-0.115593,1.630235,1.041560
1543341565.734047,1295815655,0.327185,0.649946,0.377154,0.572953,-0.115594,1.630187,1.041672
1543341566.743754,1296815640,0.327146,0.650010,0.377014,0.572996,-0.115476,1.630301,1.041372
1543341567.769527,1297815626,0.327178,0.649972,0.377088,0.572971,-0.115523,1.630246,1.041548
1543341568.779225,1298815612,0.327231,0.649947,0.377099,0.572961,-0.115464,1.630250,1.041654
1543341569.804912,1299815598,0.327166,0.649966,0.377098,0.572978,-0.115541,1.630215,1.041547
1543341570.814816,1300815583,0.327247,0.649988,0.377097,0.572907,-0.115509,1.630379,1.041671
1543341571.840461,1301815569,0.327184,0.649993,0.377099,0.572937,-0.115569,1.630308,1.041575
1543341572.850320,1302815555,0.327233,0.649946,0.377153,0.572927,-0.115554,1.630249,1.041744
1543341573.860092,1303815541,0.327181,0.650002,0.377064,0.572951,-0.115525,1.630328,1.041511
1543341574.885918,1304815526,0.327131,0.649991,0.377109,0.572963,-0.115624,1.630234,1.041508
1543341575.895755,1305815512,0.327268,0.649963,0.377168,0.572877,-0.115579,1.630341,1.041822
1543341576.921497,1306815498,0.327158,0.649991,0.377095,0.572955,-0.115580,1.630271,1.041528
1543341577.931264,1307815484,0.327238,0.649962,0.377101,0.572939,-0.115485,1.630299,1.041667
1543341578.957039,1308815469,0.327224,0.649974,0.377049,0.572967,-0.115424,1.630312,1.041558
1543341579.966788,1309815455,0.327018,0.650023,0.376918,0.573116,-0.115428,1.630167,1.041011
1543341580.992495,1310815441,0.327228,0.649938,0.377173,0.572926,-0.115581,1.630221,1.041771
1543341582.002355,1311815426,0.327146,0.649965,0.377091,0.572995,-0.115542,1.630186,1.041504
1543341583.028146,1312815412,0.327257,0.649988,0.377079,0.572913,-0.115470,1.630392,1.041657
1543341584.037942,1313815398,0.327159,0.650008,0.377062,0.572957,-0.115547,1.630316,1.041473
1543341585.047676,1314815384,0.327152,0.649990,0.377122,0.572943,-0.115630,1.630258,1.041562
1543341586.073559,1315815369,0.327166,0.650003,0.377043,0.572972,-0.115501,1.630312,1.041453
1543341587.083300,1316815355,0.327193,0.649950,0.377101,0.572978,-0.115501,1.630208,1.041597
1543341588.109004,1317815341,0.327185,0.649967,0.377153,0.572929,-0.115623,1.630244,1.041667
1543341589.118751,1318815327,0.327120,0.649972,0.377138,0.572971,-0.115655,1.630171,1.041540
1543341590.144476,1319815312,0.327160,0.649993,0.377099,0.572950,-0.115588,1.630278,1.041537
1543341591.154300,1320815298,0.327028,0.650013,0.377092,0.573007,-0.115708,1.630156,1.041315
1543341592.180001,1321815284,0.327200,0.649998,0.377043,0.572959,-0.115466,1.630342,1.041508
1543341593.190130,1322815270,0.327197,0.649940,0.377126,0.572971,-0.115527,1.630188,1.041646
1543341594.199594,1323815255,0.327214,0.650017,0.377102,0.572890,-0.115587,1.630411,1.041626
1543341595.225339,1324815241,0.327239,0.649934,0.377136,0.572947,-0.115503,1.630227,1.041728
1543341596.235140,1325815227,0.327179,0.649974,0.377137,0.572936,-0.115611,1.630252,1.041630
1543341597.260922,1326815213,0.327233,0.649991,0.377105,0.572906,-0.115539,1.630369,1.041663
1543341598.270705,1327815198,0.327181,0.649979,0.377127,0.572936,-0.115599,1.630268,1.041618
1543341599.296400,1328815184,0.327194,0.650004,0.377106,0.572913,-0.115590,1.630352,1.041601
1543341600.306175,1329815170,0.327175,0.649966,0.377041,0.573009,-0.115435,1.630227,1.041469
1543341601.331903,1330815156,0.327193,0.649965,0.377063,0.572987,-0.115458,1.630246,1.041533
1543341602.341756,1331815141,0.327195,0.649986,0.377041,0.572976,-0.115449,1.630304,1.041498
1543341603.351502,1332815127,0.327209,0.649967,0.377057,0.572978,-0.115438,1.630274,1.041549
