Header here
1556648006.9582453: 6,-06.695,-07.132,+00.000687,-00.001298,+00.000517*60
1556648008.068786: $VNYMR,+101.384,+002.906,+043.034,-00.1001,+00.1794,+00.4126,+00.478,-06.652,-07.128,+00.004041,+00.000475,+00.000730*63
1556648008.0927255: $VNYMR,+101.381,+002.906,+043.032,-00.0975,+00.1968,+00.4138,+00.445,-06.683,-07.137,-00.000468,-00.000798,-00.001410*68
1556648008.1167226: $VNYMR,+101.381,+002.907,+043.036,-00.0989,+00.1818,+00.4113,+00.491,-06.660,-07.124,-00.001292,+00.000740,-00.002709*6E
1556648008.1446838: $VNYMR,+101.383,+002.905,+043.032,-00.1010,+00.1881,+00.4152,+00.528,-06.682,-07.158,+00.002746,-00.000049,+00.001805*64
1556648008.1686234: $VNYMR,+101.383,+002.906,+043.032,-00.1000,+00.1868,+00.4084,+00.489,-06.708,-07.180,-00.004670,-00.001154,+00.001502*65
1556648008.1925933: $VNYMR,+101.381,+002.907,+043.034,-00.1011,+00.1843,+00.4084,+00.522,-06.722,-07.136,+00.004792,+00.001007,-00.001035*61
1556648008.2165594: $VNYMR,+101.382,+002.907,+043.035,-00.1000,+00.1819,+00.4153,+00.557,-06.668,-07.161,+00.000797,+00.001831,-00.000477*67
1556648008.2445223: $VNYMR,+101.384,+002.908,+043.035,-00.0999,+00.1881,+00.4152,+00.535,-06.692,-07.162,-00.003551,-00.001777,+00.001438*6E
1556648008.2685275: $VNYMR,+101.385,+002.908,+043.035,-00.1011,+00.1831,+00.4139,+00.513,-06.673,-07.167,+00.000869,-00.000138,-00.001009*60
1556648008.2924867: $VNYMR,+101.384,+002.908,+043.035,-00.1022,+00.1844,+00.4138,+00.519,-06.690,-07.154,+00.001162,+00.001483,-00.001175*6E
1556648008.320427: $VNYMR,+101.385,+002.908,+043.035,-00.0988,+00.1868,+00.4112,+00.544,-06.631,-07.153,+00.002028,+00.000684,+00.000349*67
1556648008.3443902: $VNYMR,+101.386,+002.908,+043.036,-00.0999,+00.1905,+00.4111,+00.503,-06.645,-07.143,+00.000401,-00.000175,+00.002940*6C
1556648008.3683553: $VNYMR,+101.387,+002.908,+043.036,-00.1011,+00.1819,+00.4139,+00.464,-06.639,-07.101,-00.000030,-00.000074,-00.000608*69
1556648008.392326: $VNYMR,+101.388,+002.907,+043.035,-00.1001,+00.1806,+00.4126,+00.467,-06.654,-07.162,-00.000865,-00.000717,-00.000262*64
