Time,yaw,pitch,roll,magx,magy,magz,accelx,accely,accelz,gyrox,gyroy,gyroz
10.131999969482422,-1.078,20.213,0.713,-0.1368,0.2305,0.4053,2.91,-0.041,-8.844,0.078224,1.384609,-0.006948
10.240000009536743,-0.955,28.4,1.24,-0.2057,0.2322,0.3878,4.556,-0.089,-8.155,0.088766,1.450615,-0.002746
10.347999811172485,-0.73,36.514,1.839,-0.2648,0.2365,0.3583,6.792,-0.681,-7.358,0.080625,1.337651,-0.001754
10.454999923706055,-0.481,42.403,2.349,-0.3112,0.2347,0.334,7.936,-0.42,-6.891,0.044892,0.725761,-0.002533
10.569999933242798,-0.415,45.516,2.656,-0.3322,0.2306,0.318,7.076,-0.35,-6.764,0.010173,0.316814,-0.000754
10.669999837875366,-0.292,47.249,2.849,-0.3481,0.2392,0.3112,6.874,-0.437,-6.536,0.017357,0.331409,0.001815
10.770999908447266,-0.121,49.564,3.101,-0.3623,0.2413,0.2954,7.455,-0.398,-6.269,0.021389,0.453859,-0.000504
10.875999927520752,0.022,51.298,3.3,-0.3739,0.235,0.2834,9.434,-0.478,-5.862,-0.000556,0.046679,0.002197
10.973999977111816,-0.167,49.403,3.05,-0.3605,0.2403,0.2956,8.578,-0.29,-6.162,-0.035578,-0.621684,-0.00032
11.08299994468689,-0.737,43.7,2.435,-0.3206,0.2369,0.33,6.982,-0.415,-6.858,-0.017317,-0.877405,-0.034499
11.246999979019165,-1.141,35.108,1.693,-0.26,0.2375,0.3631,6.276,-0.261,-7.531,-0.065852,-1.153899,0.005485
11.376999855041504,-1.351,25.871,1.052,-0.1864,0.2379,0.3935,4.454,-0.169,-8.354,-0.081825,-1.373336,0.006392
11.482999801635742,-1.443,16.322,0.442,-0.1064,0.2319,0.4127,2.072,-0.018,-9.115,-0.070293,-1.215974,0.004392
11.55299997329712,-1.451,13.092,0.254,-0.081,0.2359,0.4104,1.44,-0.031,-9.311,-0.057867,-1.051353,0.003511
11.629999876022339,-1.448,9.153,0.024,-0.0482,0.2282,0.4168,1.144,-0.0,-9.535,-0.046495,-0.824473,0.002388
11.727999925613403,-1.425,4.808,-0.232,-0.0123,0.2383,0.4127,0.714,0.049,-9.626,-0.044484,-0.722041,0.000378
11.79699993133545,-1.398,1.785,-0.408,0.0148,0.2317,0.4177,-0.008,0.123,-9.744,-0.040675,-0.673866,0.000524
11.895999908447266,-1.476,-1.774,-0.62,0.0411,0.2335,0.4109,-0.727,-0.003,-9.852,-0.029044,-0.563863,-0.004877
12.004999876022339,-2.274,-2.634,-0.686,0.0512,0.2281,0.4081,-0.199,0.505,-9.913,0.015275,-0.001329,-0.032285
12.118000030517578,-2.361,-2.776,-0.662,0.0494,0.2302,0.4114,-0.938,0.604,-9.79,-0.0064,-0.029246,-0.10526
